2025-10-12 21:42:07.498 [http-nio-8084-exec-8] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy146.findByName | Entity: repository | Timestamp: 1760294527498
2025-10-12 21:42:07.498 [http-nio-8084-exec-8] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: BookServiceImpl.getBookByName | Entity: service | Timestamp: 1760294527498
2025-10-12 21:42:07.500 [http-nio-8084-exec-8] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294527500
2025-10-12 21:42:07.501 [http-nio-8084-exec-8] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: ClientServiceImpl.getClientByEmail | Entity: service | Timestamp: 1760294527501
2025-10-12 21:42:10.370 [http-nio-8084-exec-9] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294530370
2025-10-12 21:42:10.372 [http-nio-8084-exec-9] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy140.findByEmail | Entity: repository | Timestamp: 1760294530372
2025-10-12 21:42:10.374 [http-nio-8084-exec-9] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294530374
2025-10-12 21:42:10.375 [http-nio-8084-exec-9] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: ClientServiceImpl.getClientByEmail | Entity: service | Timestamp: 1760294530375
2025-10-12 21:42:11.658 [http-nio-8084-exec-10] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294531658
2025-10-12 21:42:11.659 [http-nio-8084-exec-10] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy140.findByEmail | Entity: repository | Timestamp: 1760294531659
2025-10-12 21:42:11.661 [http-nio-8084-exec-10] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294531661
2025-10-12 21:42:11.661 [http-nio-8084-exec-10] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: ClientServiceImpl.getClientByEmail | Entity: service | Timestamp: 1760294531661
2025-10-12 21:42:14.047 [http-nio-8084-exec-2] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294534047
2025-10-12 21:42:14.048 [http-nio-8084-exec-2] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy140.findByEmail | Entity: repository | Timestamp: 1760294534048
2025-10-12 21:42:14.051 [http-nio-8084-exec-2] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294534051
2025-10-12 21:42:14.117 [http-nio-8084-exec-2] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.save | Entity: repository | Timestamp: 1760294534117
2025-10-12 21:42:14.118 [http-nio-8084-exec-2] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: ClientServiceImpl.updateClientByEmail | Entity: service | Timestamp: 1760294534118
2025-10-12 21:42:14.132 [http-nio-8084-exec-3] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294534132
2025-10-12 21:42:14.133 [http-nio-8084-exec-3] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy140.findByEmail | Entity: repository | Timestamp: 1760294534133
2025-10-12 21:42:14.134 [http-nio-8084-exec-3] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294534134
2025-10-12 21:42:14.134 [http-nio-8084-exec-3] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: ClientServiceImpl.getClientByEmail | Entity: service | Timestamp: 1760294534134
2025-10-12 21:42:16.105 [http-nio-8084-exec-4] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294536105
2025-10-12 21:42:16.107 [http-nio-8084-exec-4] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy140.findByEmail | Entity: repository | Timestamp: 1760294536107
2025-10-12 21:42:16.109 [http-nio-8084-exec-4] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294536109
2025-10-12 21:42:16.109 [http-nio-8084-exec-4] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: ClientServiceImpl.getClientByEmail | Entity: service | Timestamp: 1760294536109
2025-10-12 21:42:17.929 [http-nio-8084-exec-5] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy139.findByEmail | Entity: repository | Timestamp: 1760294537929
2025-10-12 21:42:17.931 [http-nio-8084-exec-5] DEBUG DATA_ACCESS - DATA_ACCESS_SUCCESS | Operation: $Proxy140.findByEmail | Entity: repository | Timestamp: 1760294537931
