2025-10-12 21:42:03.959 [http-nio-8084-exec-3] INFO  PERFORMANCE - PERFORMANCE | Operation: HomeController.index | Duration: 0ms | Timestamp: 1760294523959
2025-10-12 21:42:04.464 [http-nio-8084-exec-4] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 1ms | Timestamp: 1760294524464
2025-10-12 21:42:04.466 [http-nio-8084-exec-4] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy140.findByEmail | Duration: 2ms | Timestamp: 1760294524466
2025-10-12 21:42:04.471 [http-nio-8084-exec-4] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy146.findAll | Duration: 4ms | Timestamp: 1760294524471
2025-10-12 21:42:04.473 [http-nio-8084-exec-4] INFO  PERFORMANCE - PERFORMANCE | Operation: BookServiceImpl.getAllBooks | Duration: 7ms | Timestamp: 1760294524473
2025-10-12 21:42:04.474 [http-nio-8084-exec-4] INFO  PERFORMANCE - PERFORMANCE | Operation: BookController.listBooks | Duration: 8ms | Timestamp: 1760294524474
2025-10-12 21:42:05.518 [http-nio-8084-exec-5] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 2ms | Timestamp: 1760294525518
2025-10-12 21:42:05.519 [http-nio-8084-exec-5] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy140.findByEmail | Duration: 1ms | Timestamp: 1760294525519
2025-10-12 21:42:05.521 [http-nio-8084-exec-5] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy146.findByName | Duration: 1ms | Timestamp: 1760294525521
2025-10-12 21:42:05.521 [http-nio-8084-exec-5] INFO  PERFORMANCE - PERFORMANCE | Operation: BookServiceImpl.getBookByName | Duration: 1ms | Timestamp: 1760294525521
2025-10-12 21:42:05.521 [http-nio-8084-exec-5] INFO  PERFORMANCE - PERFORMANCE | Operation: BookController.viewBook | Duration: 2ms | Timestamp: 1760294525521
2025-10-12 21:42:06.432 [http-nio-8084-exec-6] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 2ms | Timestamp: 1760294526432
2025-10-12 21:42:06.433 [http-nio-8084-exec-6] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy140.findByEmail | Duration: 1ms | Timestamp: 1760294526433
2025-10-12 21:42:06.438 [http-nio-8084-exec-6] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy146.findByName | Duration: 2ms | Timestamp: 1760294526438
2025-10-12 21:42:06.438 [http-nio-8084-exec-6] INFO  PERFORMANCE - PERFORMANCE | Operation: BookServiceImpl.getBookByName | Duration: 2ms | Timestamp: 1760294526438
2025-10-12 21:42:06.439 [http-nio-8084-exec-6] INFO  PERFORMANCE - PERFORMANCE | Operation: OrderController.addToCart | Duration: 3ms | Timestamp: 1760294526439
2025-10-12 21:42:06.446 [http-nio-8084-exec-7] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 2ms | Timestamp: 1760294526446
2025-10-12 21:42:06.447 [http-nio-8084-exec-7] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy140.findByEmail | Duration: 1ms | Timestamp: 1760294526447
2025-10-12 21:42:06.452 [http-nio-8084-exec-7] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy146.findAll | Duration: 4ms | Timestamp: 1760294526452
2025-10-12 21:42:06.455 [http-nio-8084-exec-7] INFO  PERFORMANCE - PERFORMANCE | Operation: BookServiceImpl.getAllBooks | Duration: 7ms | Timestamp: 1760294526455
2025-10-12 21:42:06.456 [http-nio-8084-exec-7] INFO  PERFORMANCE - PERFORMANCE | Operation: OrderController.viewCart | Duration: 8ms | Timestamp: 1760294526456
2025-10-12 21:42:07.491 [http-nio-8084-exec-8] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 2ms | Timestamp: 1760294527491
2025-10-12 21:42:07.493 [http-nio-8084-exec-8] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy140.findByEmail | Duration: 1ms | Timestamp: 1760294527493
2025-10-12 21:42:07.497 [http-nio-8084-exec-8] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy146.findByName | Duration: 2ms | Timestamp: 1760294527497
2025-10-12 21:42:07.498 [http-nio-8084-exec-8] INFO  PERFORMANCE - PERFORMANCE | Operation: BookServiceImpl.getBookByName | Duration: 3ms | Timestamp: 1760294527498
2025-10-12 21:42:07.500 [http-nio-8084-exec-8] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 1ms | Timestamp: 1760294527500
2025-10-12 21:42:07.500 [http-nio-8084-exec-8] INFO  PERFORMANCE - PERFORMANCE | Operation: ClientServiceImpl.getClientByEmail | Duration: 1ms | Timestamp: 1760294527500
2025-10-12 21:42:07.503 [http-nio-8084-exec-8] INFO  PERFORMANCE - PERFORMANCE | Operation: OrderController.submitOrder | Duration: 8ms | Timestamp: 1760294527503
2025-10-12 21:42:10.370 [http-nio-8084-exec-9] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 2ms | Timestamp: 1760294530370
2025-10-12 21:42:10.372 [http-nio-8084-exec-9] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy140.findByEmail | Duration: 2ms | Timestamp: 1760294530372
2025-10-12 21:42:10.374 [http-nio-8084-exec-9] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 1ms | Timestamp: 1760294530374
2025-10-12 21:42:10.375 [http-nio-8084-exec-9] INFO  PERFORMANCE - PERFORMANCE | Operation: ClientServiceImpl.getClientByEmail | Duration: 2ms | Timestamp: 1760294530375
2025-10-12 21:42:10.375 [http-nio-8084-exec-9] INFO  PERFORMANCE - PERFORMANCE | Operation: ClientController.profile | Duration: 2ms | Timestamp: 1760294530375
2025-10-12 21:42:11.658 [http-nio-8084-exec-10] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 2ms | Timestamp: 1760294531658
2025-10-12 21:42:11.659 [http-nio-8084-exec-10] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy140.findByEmail | Duration: 1ms | Timestamp: 1760294531659
2025-10-12 21:42:11.661 [http-nio-8084-exec-10] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 1ms | Timestamp: 1760294531661
2025-10-12 21:42:11.661 [http-nio-8084-exec-10] INFO  PERFORMANCE - PERFORMANCE | Operation: ClientServiceImpl.getClientByEmail | Duration: 1ms | Timestamp: 1760294531661
2025-10-12 21:42:11.662 [http-nio-8084-exec-10] INFO  PERFORMANCE - PERFORMANCE | Operation: ClientController.getEditPage | Duration: 2ms | Timestamp: 1760294531662
2025-10-12 21:42:14.047 [http-nio-8084-exec-2] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 3ms | Timestamp: 1760294534047
